particle_type,momentum,photon_hits,is_pi,is_K,is_electron,is_muon,is_proton
pi,19.652991125594763,16,1.0,0.0,0.0,0.0,0.0
pi,90.89647683695704,9,1.0,0.0,0.0,0.0,0.0
pi,44.47800106527863,10,1.0,0.0,0.0,0.0,0.0
pi,76.00091486665825,12,1.0,0.0,0.0,0.0,0.0
pi,52.12106298987405,7,1.0,0.0,0.0,0.0,0.0
pi,68.84517040834837,13,1.0,0.0,0.0,0.0,0.0
pi,96.6746950060248,16,1.0,0.0,0.0,0.0,0.0
pi,93.9465910175617,15,1.0,0.0,0.0,0.0,0.0
pi,60.82361023727116,19,1.0,0.0,0.0,0.0,0.0
pi,58.36268037168091,16,1.0,0.0,0.0,0.0,0.0
pi,62.13401237927137,9,1.0,0.0,0.0,0.0,0.0
pi,2.031872035786541,0,1.0,0.0,0.0,0.0,0.0
pi,52.83573090846586,17,1.0,0.0,0.0,0.0,0.0
pi,70.4945169521413,19,1.0,0.0,0.0,0.0,0.0
pi,41.52178510342846,11,1.0,0.0,0.0,0.0,0.0
pi,51.913487704288755,20,1.0,0.0,0.0,0.0,0.0
pi,57.21570412224739,9,1.0,0.0,0.0,0.0,0.0
pi,78.57657914149289,14,1.0,0.0,0.0,0.0,0.0
pi,63.13049367828878,19,1.0,0.0,0.0,0.0,0.0
pi,81.16651982029599,16,1.0,0.0,0.0,0.0,0.0
pi,43.15590778897494,18,1.0,0.0,0.0,0.0,0.0
pi,49.84853197271494,15,1.0,0.0,0.0,0.0,0.0
pi,82.96172376635103,14,1.0,0.0,0.0,0.0,0.0
pi,45.11059487101775,10,1.0,0.0,0.0,0.0,0.0
pi,45.33403610521375,15,1.0,0.0,0.0,0.0,0.0
pi,24.570058845517966,22,1.0,0.0,0.0,0.0,0.0
pi,12.79594768786809,15,1.0,0.0,0.0,0.0,0.0
pi,27.65173113623467,14,1.0,0.0,0.0,0.0,0.0
pi,62.21237657982422,17,1.0,0.0,0.0,0.0,0.0
pi,39.87449853244349,19,1.0,0.0,0.0,0.0,0.0
pi,49.3233111764042,13,1.0,0.0,0.0,0.0,0.0
pi,13.427539047971957,9,1.0,0.0,0.0,0.0,0.0
pi,42.175990742254726,17,1.0,0.0,0.0,0.0,0.0
pi,35.48273052196258,11,1.0,0.0,0.0,0.0,0.0
pi,44.467615347618235,11,1.0,0.0,0.0,0.0,0.0
pi,96.85131304098574,14,1.0,0.0,0.0,0.0,0.0
pi,88.64991791907941,12,1.0,0.0,0.0,0.0,0.0
pi,13.758970351511499,13,1.0,0.0,0.0,0.0,0.0
pi,89.35742727927425,13,1.0,0.0,0.0,0.0,0.0
pi,96.03754655479415,19,1.0,0.0,0.0,0.0,0.0
pi,87.45868337659195,21,1.0,0.0,0.0,0.0,0.0
pi,63.79265809445034,21,1.0,0.0,0.0,0.0,0.0
pi,29.03232355869489,19,1.0,0.0,0.0,0.0,0.0
pi,71.19895361014459,9,1.0,0.0,0.0,0.0,0.0
pi,8.07141037736514,12,1.0,0.0,0.0,0.0,0.0
pi,40.10922506370952,20,1.0,0.0,0.0,0.0,0.0
pi,6.458224331064377,8,1.0,0.0,0.0,0.0,0.0
pi,14.945078417258001,13,1.0,0.0,0.0,0.0,0.0
pi,32.488901902842,14,1.0,0.0,0.0,0.0,0.0
pi,41.5923545622677,18,1.0,0.0,0.0,0.0,0.0
pi,50.87834675691837,18,1.0,0.0,0.0,0.0,0.0
pi,17.820410182894154,13,1.0,0.0,0.0,0.0,0.0
pi,77.99087148202761,10,1.0,0.0,0.0,0.0,0.0
pi,50.80185605715684,13,1.0,0.0,0.0,0.0,0.0
